indexList,ID,Occ_CY,Occ_PY,Occ_Chg,ADR_CY,ADR_PY,ADR_Chg,RevPAR_CY,RevPAR_PY,RevPAR_Chg,Day,Month,Year,UOM,Date
221,O‘ahu Midscale & Economy,0.803717855,0.810189171,-0.006471317,135.0265611,131.9850615,0.023044272,108.52,106.93,0.014869541,1,7,2017,YTD,7/1/2017
222,Maui County,0.78577708,0.770233404,0.015543677,360.233024,331.2694429,0.087432094,283.06,255.15,0.109386635,1,7,2017,YTD,7/1/2017
223,Wailea,0.863346574,0.827733529,0.035613045,540.6743781,494.731864,0.092863463,466.79,409.51,0.139874484,1,7,2017,YTD,7/1/2017
224,Lahaina - Kā‘anapali  - Kapalua,0.788220162,0.775701491,0.012518672,306.1732125,285.1400282,0.073764404,241.33,221.18,0.09110227,1,7,2017,YTD,7/1/2017
225,Other Maui County,0.78273724,0.763708924,0.019028316,427.9688986,387.1750206,0.105362887,334.99,295.69,0.132909466,1,7,2017,YTD,7/1/2017
226,Maui County Luxury,0.786019801,0.757688106,0.028331694,601.5230759,563.9391242,0.066645406,472.81,427.29,0.106531864,1,7,2017,YTD,7/1/2017
227,Maui County Upper Upscale & Upscale,0.795359701,0.778201196,0.017158505,286.4186227,261.2493913,0.09634178,227.81,203.3,0.120560748,1,7,2017,YTD,7/1/2017
228,Island of Hawai‘i,0.758555657,0.698118637,0.06043702,251.8722399,241.8656781,0.041372393,191.06,168.85,0.131536867,1,7,2017,YTD,7/1/2017
229,Kohala Coast,0.762108722,0.726414684,0.035694039,346.8053481,329.1563456,0.053618904,264.3,239.1,0.105395232,1,7,2017,YTD,7/1/2017
230,Kaua‘i,0.779146484,0.738815418,0.040331065,267.3001084,256.3389055,0.04276059,208.27,189.39,0.099688474,1,7,2017,YTD,7/1/2017
231,State of Hawai‘i,0.808884259,0.803574958,0.005309301,268.8213716,263.6730026,0.019525582,217.45,211.88,0.026288465,1,8,2017,MTD,8/1/2017
232,Luxury Class,0.777335568,0.747295011,0.030040557,544.7439494,531.2324662,0.02543422,423.45,396.99,0.066651553,1,8,2017,MTD,8/1/2017
233,Upper Upscale Class,0.873026836,0.874666476,-0.00163964,273.0738364,270.4388223,0.009743476,238.4,236.54,0.007863363,1,8,2017,MTD,8/1/2017
234,Upscale Class,0.748117972,0.752990821,-0.004872849,190.8213349,189.1475253,0.008849228,142.76,142.43,0.002316928,1,8,2017,MTD,8/1/2017
235,Upper Midscale Class,0.818821247,0.805958873,0.012862374,158.9557811,157.6699584,0.008155154,130.16,127.08,0.024236701,1,8,2017,MTD,8/1/2017
236,Midscale & Economy Class,0.761598405,0.767675206,-0.006076801,148.8993781,148.8040918,0.000640347,113.4,114.23,-0.007266042,1,8,2017,MTD,8/1/2017
237,O‘ahu ,0.856691777,0.863698195,-0.007006417,244.6789092,243.453146,0.005034904,209.61,210.27,-0.003138822,1,8,2017,MTD,8/1/2017
238,Waikīkī ,0.865818407,0.875260767,-0.00944236,240.1749497,240.7833881,-0.002526912,207.95,210.75,-0.013285884,1,8,2017,MTD,8/1/2017
239,Other O‘ahu ,0.802327328,0.794151053,0.008176276,273.6306214,261.1514258,0.047785286,219.54,207.39,0.058585274,1,8,2017,MTD,8/1/2017
240,O‘ahu Luxury,0.783633228,0.746451847,0.037181381,516.5952976,499.3527752,0.034529742,404.82,372.74,0.086065354,1,8,2017,MTD,8/1/2017
241,O‘ahu Upper Upscale ,0.925252377,0.925201579,5.08E-05,270.4377205,273.5987019,-0.01155335,250.22,253.13,-0.011496069,1,8,2017,MTD,8/1/2017
242,O‘ahu Upscale,0.785678361,0.836353029,-0.050674668,197.492051,199.4589446,-0.009861145,155.17,166.82,-0.069835751,1,8,2017,MTD,8/1/2017
243,O‘ahu Upper Midscale,0.846803182,0.842223406,0.004579776,154.5697864,154.7408334,-0.001105377,130.89,130.33,0.004296785,1,8,2017,MTD,8/1/2017
244,O‘ahu Midscale & Economy,0.817046805,0.822040908,-0.004994103,136.5051433,140.2390641,-0.026625397,111.53,115.28,-0.032529493,1,8,2017,MTD,8/1/2017
245,Maui County,0.761118368,0.750237596,0.010880772,339.679517,330.1728819,0.028792901,258.54,247.71,0.04372048,1,8,2017,MTD,8/1/2017
246,Wailea,0.886876231,0.790102239,0.096773993,536.924254,519.1994348,0.034138749,476.19,410.22,0.160816147,1,8,2017,MTD,8/1/2017
247,Lahaina - Kā‘anapali  - Kapalua,0.759539927,0.773413073,-0.013873145,285.3589548,275.128395,0.037184674,216.74,212.79,0.018562902,1,8,2017,MTD,8/1/2017
248,Other Maui County,0.763115313,0.722276782,0.040838531,408.0805371,401.2848699,0.01693477,311.41,289.84,0.07442037,1,8,2017,MTD,8/1/2017
249,Maui County Luxury,0.744045059,0.76893174,-0.024886681,607.9576773,588.1308176,0.033711649,452.35,452.23,0.000265352,1,8,2017,MTD,8/1/2017
250,Maui County Upper Upscale & Upscale,0.780263722,0.747917388,0.032346334,259.9377885,244.7106468,0.062225089,202.82,183.02,0.108184898,1,8,2017,MTD,8/1/2017
251,Island of Hawai‘i,0.725906041,0.683411551,0.04249449,250.8668845,246.7498898,0.01668489,182.11,168.63,0.079938327,1,8,2017,MTD,8/1/2017
252,Kohala Coast,0.725633119,0.693926834,0.031706286,358.1598924,349.559731,0.024602838,259.89,242.57,0.07140207,1,8,2017,MTD,8/1/2017
253,Kaua‘i,0.75621484,0.746876113,0.009338727,277.4352374,257.3052768,0.078233765,209.8,192.18,0.091684879,1,8,2017,MTD,8/1/2017
254,State of Hawai‘i,0.808141722,0.796972559,0.011169162,267.0605169,254.0987854,0.0510106,215.82,202.51,0.065725149,1,8,2017,YTD,8/1/2017
255,Luxury Class,0.767213199,0.747646369,0.01956683,528.6129484,503.6449933,0.049574513,405.56,376.55,0.077041562,1,8,2017,YTD,8/1/2017
256,Upper Upscale Class,0.865037342,0.859470732,0.00556661,270.3327582,259.6118503,0.041295911,233.85,223.13,0.048043741,1,8,2017,YTD,8/1/2017
257,Upscale Class,0.762303128,0.740034446,0.022268682,198.4780855,190.9753056,0.039286649,151.3,141.33,0.070544117,1,8,2017,YTD,8/1/2017
258,Upper Midscale Class,0.815569672,0.813900054,0.001669618,161.2702794,153.6820321,0.049376282,131.53,125.08,0.051566997,1,8,2017,YTD,8/1/2017
259,Midscale & Economy Class,0.768941459,0.768957656,-1.62E-05,154.0295971,147.3268651,0.045495653,118.44,113.29,0.045458558,1,8,2017,YTD,8/1/2017
260,O‘ahu ,0.836480099,0.843624825,-0.007144726,234.501668,225.8537218,0.038290032,196.16,190.54,0.029495119,1,8,2017,YTD,8/1/2017
